artist;song;duration_ms;year;tempo;genre;energy;key;loudness
Ronan Keating;Life Is A Rollercoaster;234826;2000;118.981;pop, rock;0.791;0;-8.923
Clean Bandit;Rather Be (feat. Jess Glynne);227833;2014;120.97;pop, Dance/Electronic;0.586;11;-6.735
*NSYNC;Bye Bye Bye;200560;2000;172.656;pop;0.928;8;-4.806
The Fray;Never Say Never;256613;2009;160.139;pop;0.492;8;-5.767
Imagine Dragons;Demons;177506;2012;89.938;rock;0.71;3;-3.015
Geri Halliwell;It's Raining Men;254640;2001;136.482;pop;0.929;5;-6.03
Audioslave;Like a Stone;293960;2002;107.849;rock, metal;0.568;7;-5.477
La Roux;Bulletproof;205733;2009;123.016;pop, Dance/Electronic;0.882;3;-2.771
Chingy;Holidae In;314400;2003;153.067;hip hop, pop, R&B;0.791;7;-5.909
Take That;The Flood;289359;2010;100.631;pop;0.83;11;-6.077
Ariana Grande;Break Free;214840;2014;129.956;pop;0.702;7;-5.324
Enrique Iglesias;Do You Know? (The Ping Pong Song);219533;2007;114.999;pop, latin;0.759;8;-4.829
Flo Rida;My House;192190;2015;94.006;hip hop, pop;0.702;7;-4.792
Ellie Goulding;On My Mind;213445;2015;154.943;pop, rock, Dance/Electronic;0.688;2;-6.607
Cher Lloyd;Want U Back;214013;2011;97.954;pop, Dance/Electronic;0.893;9;-2.963
Daft Punk;Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit;248413;2013;116.047;hip hop, Dance/Electronic;0.811;6;-8.966
Storm Queen;Look Right Through - MK Vocal Edit;150400;2014;119.995;Dance/Electronic;0.815;0;-8.035
Flo Rida;My House;192190;2015;94.006;hip hop, pop;0.702;7;-4.792
Britney Spears;Toxic;198800;2003;143.04;pop;0.838;5;-3.914
Missy Elliott;Work It;263226;2002;101.868;hip hop, pop, R&B;0.677;1;-5.603
Rihanna;Hard;250600;2009;182.032;hip hop, pop, R&B;0.746;1;-3.599
David Guetta;Turn Me On (feat. Nicki Minaj);199680;2012;127.96;hip hop, pop, Dance/Electronic;0.793;8;-2.266
Gigi D'Agostino;The Riddle;285426;1999;127.002;pop;0.876;6;-6.87
Miley Cyrus;Wrecking Ball;221360;2013;119.964;pop;0.422;5;-6.262
Drake;One Dance;173986;2016;103.967;hip hop, pop, R&B;0.625;1;-5.609
Jennifer Lopez;Jenny from the Block (feat. Jadakiss & Styles P.) - Track Masters Remix;187840;2002;100.0;hip hop, pop, R&B;0.768;6;-5.448
Disclosure;Latch;255631;2013;121.985;pop, Dance/Electronic;0.727;1;-5.456
Labrinth;Earthquake (feat. Tinie Tempah);274600;2012;153.071;pop;0.856;0;-3.966
Kungs;This Girl - Kungs Vs. Cookin' On 3 Burners;195561;2016;121.969;pop, Dance/Electronic;0.705;0;-4.684
Gabrielle;Out Of Reach;196986;2001;182.862;pop, R&B;0.48;11;-6.567
Sugababes;Too Lost In You;237693;2003;98.014;pop, R&B;0.705;1;-4.904
Backstreet Boys;Show Me the Meaning of Being Lonely;234960;1999;167.998;pop;0.625;6;-5.088
Jessica Simpson;Irresistible;194026;2001;93.013;pop, R&B;0.965;8;-2.771
The Script;Hall of Fame (feat. will.i.am);202533;2012;84.786;pop, rock;0.873;10;-4.343
Aaliyah;Rock The Boat;275026;2019;92.988;hip hop, pop, R&B;0.72;5;-5.209
Razorlight;In The Morning;222453;2006;124.191;rock, pop;0.855;4;-3.495
Rihanna;S&M;243533;2010;127.975;hip hop, pop, R&B;0.682;1;-5.02
Selena Gomez & The Scene;Love You Like A Love Song;188453;2011;117.009;pop, Dance/Electronic;0.678;1;-3.87
Ludacris;How Low;201586;2010;143.96;hip hop, pop;0.498;1;-6.977
Rihanna;Diamonds;225146;2012;91.972;hip hop, pop, R&B;0.71;11;-4.92
The Chemical Brothers;Galvanize;393813;2005;104.003;Dance/Electronic;0.714;7;-3.681
Christina Perri;A Thousand Years;285120;2011;139.028;pop;0.407;10;-7.445
Asher Roth;I Love College;241933;2009;86.444;hip hop, pop;0.826;8;-4.075
Snoop Dogg;Signs;236813;2004;112.955;hip hop, pop;0.713;7;-5.308
Fuel;Hemorrhage (In My Hands);236866;2000;152.034;rock, pop, metal;0.831;1;-3.894
Britney Spears;Break the Ice;196053;2007;117.533;pop;0.911;5;-3.866
Madonna;Hung Up;337733;2005;125.02;pop;0.647;9;-7.695
Jax Jones;All Day And Night;169303;2019;121.908;hip hop, pop, Dance/Electronic;0.782;1;-4.101
Drake;Pop Style;212946;2016;133.053;hip hop, pop, R&B;0.462;7;-10.027
Missy Elliott;Work It;263226;2002;101.868;hip hop, pop, R&B;0.677;1;-5.603
Baauer;Harlem Shake;196664;2013;137.825;Dance/Electronic;0.794;0;-5.151
David Guetta;This One's for You (feat. Zara Larsson) (Official Song UEFA EURO 2016);207272;2016;110.169;hip hop, pop, Dance/Electronic;0.915;9;-3.456
Gabrielle;Rise;219093;2001;144.673;pop, R&B;0.481;8;-9.487
Britney Spears;Womanizer;224400;2008;139.0;pop;0.695;11;-5.226
Adam Lambert;Ghost Town;208330;2015;119.955;pop;0.736;4;-5.709
Kevin Gates;2 Phones;240000;2016;121.918;hip hop, pop;0.681;7;-5.267
Jonas Blue;Perfect Strangers;196613;2016;117.986;pop, Dance/Electronic;0.819;1;-5.307
Olly Murs;Up (feat. Demi Lovato);224293;2014;114.948;pop, Dance/Electronic;0.845;9;-4.676
Beyoncé;Deja Vu (feat. Jay-Z);240280;2007;105.253;pop, R&B;0.746;7;-4.941
Charli Baltimore;Down 4 U;318213;2002;83.133;pop;0.59;7;-7.442
P!nk;Who Knew;208493;2006;140.004;pop;0.734;9;-4.569
Katie Melua;Nine Million Bicycles;197160;2005;82.168;pop, easy listening, jazz;0.247;0;-15.636
Basshunter;Now You're Gone - Video Edit;148186;2008;147.99;pop;0.976;1;-5.503
Alessia Cara;Here;199453;2016;120.493;pop, R&B;0.822;0;-3.974
Jessica Simpson;With You;191826;2003;94.487;pop, R&B;0.756;0;-4.583
The Pussycat Dolls;I Hate This Part;218400;2008;111.572;pop, R&B;0.612;5;-4.371
